start_time,end_time,duration,pitch,pitch_midi,velocity,note_name
273.5095904761905,274.69509206349204,1.1855015873015304,233.08188075904496,58,0.6293146,Asharp3
271.46495056689344,271.6042702947846,0.13931972789117708,391.99543598174927,67,0.43549278,G4
271.1050412698413,271.2908009070295,0.1857596371881982,466.1637615180899,70,0.5226177,Asharp4
270.9425015873016,271.1050412698413,0.16253968253971607,466.1637615180899,70,0.40451986,Asharp4
269.69895011337866,269.8614897959184,0.16253968253971607,1318.5102276514797,88,0.45730236,E6
269.37387074829934,269.83826984126983,0.46439909297049553,440.0,69,0.48366752,A4
267.75879999999995,267.97938956916096,0.2205895691610067,415.3046975799451,68,0.48868465,Gsharp4
266.24950294784577,266.38882267573695,0.13931972789117708,739.9888454232688,78,0.35498735,Fsharp5
265.5864503401361,265.84186984126984,0.25541950113375833,369.9944227116344,66,0.6062254,Fsharp4
255.6651102040816,255.90891972789115,0.24380952380954568,1975.533205024496,95,0.31453103,B6
254.80597188208617,254.9452916099773,0.13931972789112024,311.1269837220809,63,0.5122113,Dsharp4
252.58718231292517,253.73657006802722,1.1493877551020546,1864.6550460723597,94,0.381457,Asharp6
252.23759909297053,252.58718231292517,0.3495832199546385,1864.6550460723597,94,0.32056308,Asharp6
251.70354013605444,253.96876961451247,2.265229478458025,369.9944227116344,66,0.736424,Fsharp4
250.2393990929705,250.69347210884354,0.4540730158730355,1046.5022612023945,84,0.3478101,C6
249.70534013605442,249.93753968253966,0.23219954648524777,1108.7305239074883,85,0.47066817,Csharp6
249.60085034013605,249.87948979591835,0.2786394557822973,1479.9776908465376,90,0.47540426,Fsharp6
249.38026077097504,249.62407029478456,0.24380952380951726,369.9944227116344,66,0.4653927,Fsharp4
247.10342131519275,247.32401088435375,0.2205895691610067,369.9944227116344,66,0.41387945,Fsharp4
246.68546213151927,246.894441723356,0.2089795918367372,369.9944227116344,66,0.5179793,Fsharp4
246.30104897959183,246.68546213151927,0.38441315192744696,369.9944227116344,66,0.4668936,Fsharp4
243.73396009070294,244.25640907029478,0.522448979591843,233.08188075904496,58,0.6585004,Asharp3
243.5946403628118,243.73396009070294,0.13931972789114866,233.08188075904496,58,0.7486901,Asharp3
243.07219138321994,243.2463410430839,0.17414965986395714,261.6255653005986,60,0.5159349,C4
242.5845723356009,242.73550204081633,0.15092970521541815,698.4564628660078,77,0.201821,F5
241.01594149659866,241.20170113378686,0.1857596371881982,830.6093951598903,80,0.22094816,Gsharp5
240.60959229024945,240.7489120181406,0.13931972789114866,277.1826309768721,61,0.43942693,Csharp4
240.36449886621315,240.4934925170068,0.1289936507936602,932.3275230361799,82,0.2904387,Asharp5
238.05282947845805,238.23858911564625,0.1857596371881982,932.3275230361799,82,0.3381791,Asharp5
235.07939138321996,235.27676099773245,0.19736961451249613,466.1637615180899,70,0.34990436,Asharp4
234.70787210884356,235.23032108843537,0.5224489795918146,233.08188075904496,58,0.6213359,Asharp3
234.41762267573696,234.61499229024946,0.19736961451249613,1864.6550460723597,94,0.45064557,Asharp6
234.3815088435374,234.70787210884356,0.32636326530615634,233.08188075904496,58,0.8223253,Asharp3
233.10441133786847,233.32500090702948,0.2205895691610067,174.61411571650194,53,0.37076575,F3
231.48934058956917,231.64027029478459,0.15092970521541815,277.1826309768721,61,0.34092534,Csharp4
231.24553106575965,231.41968072562358,0.17414965986392872,622.2539674441618,75,0.24400225,Dsharp5
228.95708163265306,229.1892811791383,0.23219954648524777,932.3275230361799,82,0.4282543,Asharp5
225.4250807256236,225.6456702947846,0.2205895691610067,2093.004522404789,96,0.311761,C7
224.8910217687075,225.03034149659865,0.13931972789114866,277.1826309768721,61,0.4281858,Csharp4
222.13688934240363,222.34586893424037,0.2089795918367372,932.3275230361799,82,0.3463567,Asharp5
219.90648979591836,220.09224943310656,0.1857596371881982,932.3275230361799,82,0.38208377,Asharp5
215.82881995464854,217.8386299319728,2.0098099773242666,311.1269837220809,63,0.6547548,Dsharp4
215.09739138321996,215.49213061224492,0.39473922902496383,1244.5079348883237,87,0.41256127,Dsharp6
215.00451156462586,215.53857052154197,0.5340589569161125,466.1637615180899,70,0.46977067,Asharp4
215.00451156462586,215.65467029478458,0.6501587301587222,311.1269837220809,63,0.57686317,Dsharp4
214.16730929705216,214.50399863945577,0.33668934240361637,233.08188075904496,58,0.62486386,Asharp3
213.4010507936508,213.57520045351473,0.17414965986392872,1244.5079348883237,87,0.34292433,Dsharp6
213.3313909297052,213.7377401360544,0.4063492063492049,207.65234878997256,56,0.5539173,Gsharp3
213.3081709750567,213.9002798185941,0.5921088435374031,277.1826309768721,61,0.76954484,Csharp4
213.145631292517,213.3313909297052,0.1857596371881982,207.65234878997256,56,0.6540138,Gsharp3
213.12241133786847,213.3081709750567,0.18575963718822663,277.1826309768721,61,0.8229727,Csharp4
211.98334965986396,212.32003900226758,0.33668934240361637,207.65234878997256,56,0.51879066,Gsharp3
211.82080997732427,211.98334965986396,0.16253968253968765,207.65234878997256,56,0.64905006,Gsharp3
211.4028507936508,211.5653904761905,0.16253968253968765,184.9972113558172,54,0.42662427,Fsharp3
211.07777142857142,211.32158095238097,0.24380952380954568,207.65234878997256,56,0.66843444,Gsharp3
210.8107419501134,211.07777142857142,0.2670294784580278,207.65234878997256,56,0.5392619,Gsharp3
210.39149886621314,210.6482022675737,0.2567034013605678,184.9972113558172,54,0.7131138,Fsharp3
209.9619297052154,210.39149886621314,0.4295691609977439,184.9972113558172,54,0.45743877,Fsharp3
209.43948072562358,209.63685034013605,0.1973696145124677,207.65234878997256,56,0.58567894,Gsharp3
